sku,title,summary,price_gbp,product_url,image_url,image_alt,vendor,product_type,in_stock
BTR222,BTR Cycling Bicycle Puncture Repair Kit Including Multi Tool,"Fully functional bicycle puncture repair kit & multi function tool. Pack contains the following 6 x self adhesive glueles puncture repair patches. Simply peel away backing and apply to inner tube Metal rasp plus, chalk & tyre levers x 2...",9.99,https://btrsports.co.uk/products/btr-cycling-bicycle-puncture-repair-kit-including-multi-tool,https://cdn.shopify.com/s/files/1/2318/5147/products/IMG_2868.JPG?v=1542901713&width=800,,BTR Sports,Bicycle Puncture Repair Kits,yes
BTR368,BTR Waterproof Backpack and Rucksack Covers. 35L - 45L - Five Colours,"- Available in 35 Litres, 45 Litres, 60 Litres, 70 Litres & 80 Litres",7.99,https://btrsports.co.uk/products/btr-waterproof-backpack-and-rucksack-covers-35l-70l-orange-black,https://cdn.shopify.com/s/files/1/2318/5147/products/3_4a22276b-de03-4e1a-b895-1f8e462e340d.jpg?v=1773144923&width=800,BTR orange waterproof rucksack cover front view,BTR Sports,High Visibility Waterproof Backpack Covers,yes
BTR521,BTR Reflective Running & Cycling Gilet & Vest | Silver Hi Vis |,"This totally reflective gilet glows brightly under headlights from every direction. Unlike standard hi-vis, the entire surface is covered in reflective material — so you light up like a beacon in low light and after dark. Ideal for anyon...",14.99,https://btrsports.co.uk/products/btr-high-visibility-360-reflective-running-cycling-gilet-vest,https://cdn.shopify.com/s/files/1/2318/5147/products/btr-high-vis-reflective-silver-running-cycling-gilet.jpg?v=1785335192&width=800,"BTR silver reflective gilet glowing bright white in the dark, worn by a man",BTR Sports,High Visibility Vests and Gilets,yes
BTR384,"Rear LED Bike Light, 3 Modes, Saddle Post & Bag Clip Mount | BTR","A straightforward red rear LED bike light with three modes, designed to clip onto a saddle post or a bike bag in seconds. If you want a no-fuss tail light that just works, this is it. Perfect as a primary rear light for casual riders or...",7.99,https://btrsports.co.uk/products/btr-led-rear-bicycle-light-with-3-settings,https://cdn.shopify.com/s/files/1/2318/5147/products/1_efbcd067-5933-499d-ba1f-b1a7d6bb21a7.jpg?v=1542892058&width=800,BTR rear LED bike light with three modes,BTR Sports,Bicycle Lights,yes
BTR422,BTR Bike Top Tube Bag with Phone Holder - Waterproof Crossbar Frame Bag,"A bike top tube bag that mounts across your crossbar and gives you a clear touchscreen window for your phone or GPS. Follow routes, check maps and control your music without stopping or digging in pockets. The main compartment holds keys...",16.99,https://btrsports.co.uk/products/btr-bike-top-tube-bag-phone-holder-crossbar,https://cdn.shopify.com/s/files/1/2318/5147/products/btr-bike-top-tube-bag-phone-holder.jpg?v=1785327441&width=800,BTR waterproof top tube bike bag with phone holder,BTR Sports,Bicycle Bags and Panniers,yes
BTR441,Reflective High Visibility Cycling & Running Jacket | Silver | BTR,"This jacket is covered head-to-hem in reflective material. Under car headlights, street lamps or torches, the entire surface lights up, making you visible from every direction. Unlike standard hi-vis which only works in daylight, this ja...",44.99,https://btrsports.co.uk/products/btr-be-totally-reflective-cycling-high-visibility-jacket,https://cdn.shopify.com/s/files/1/2318/5147/products/website_2_ef809779-f49c-49b5-93fa-8c001bf10142.jpg?v=1633082470&width=800,"BTR silver reflective jacket glowing bright white in the dark, worn by a man",BTR Sports,High Visibility Reflective Cycling & Running Jackets,yes
BTR525,BTR Hi Vis Reflective Running & Cycling Gilet & Vest with Pockets,"This hi-vis reflective gilet gives you maximum visibility whether you're out in daylight or after dark. The unique 50/50 design combines bright hi-vis panels with large reflective sections, so you stand out during the day and glow under...",14.99,https://btrsports.co.uk/products/btr-reflective-high-visiblity-running-cycling-vest-gilet,https://cdn.shopify.com/s/files/1/2318/5147/products/Task8_2V1.jpg?v=1636545046&width=800,BTR mens hi vis reflective gilets group shot in the dark,BTR Sports,High Visibility Vests and Gilets,yes
BTR539,BTR Reflective Cycling & Running Gilet & Vest 3-P - 3 Pockets (2 Side & 1 Rear Pocket),"This totally reflective gilet glows brightly under headlights from every direction and gives you three pockets to carry everything you need. Two zipped side pockets hold your phone and keys, while a large rear pocket stores a rolled-up j...",7.99,https://btrsports.co.uk/products/btr-reflective-cycling-running-gilet-3pocket,https://cdn.shopify.com/s/files/1/2318/5147/products/3small_841ef1b9-1dde-4c47-960e-69a308905e8c.jpg?v=1633086958&width=800,,BTR Sports,High Visibility Vests and Gilets,yes
BTR650,Womens Reflective Running & Cycling Jacket | Silver Hi Vis | BTR,"This women's totally reflective jacket is covered head-to-hem in reflective material. Under car headlights, street lamps or torches, the entire surface lights up, making you visible from every direction. Unlike standard hi-vis which only...",19.99,https://btrsports.co.uk/products/btr-womens-reflective-high-vis-cycling-running-jacket,https://cdn.shopify.com/s/files/1/2318/5147/products/5Edited.jpg?v=1620731095&width=800,BTR womens silver reflective cycling and running jacket,BTR Sports,Womens High Vis Clothing,yes
BTR602,"BTR Womens Reflective Cycling & Running High Vis Gilet, Vest","This women’s totally reflective gilet glows brightly under headlights from every direction and gives you three pockets to carry everything you need. Two zipped side pockets hold your phone and keys, while a large rear pocket stores a rol...",9.99,https://btrsports.co.uk/products/btr-womens-reflective-cycling-running-high-vis-gilet-vest,https://cdn.shopify.com/s/files/1/2318/5147/products/9_2cee0442-fafa-4e2b-b2d8-e11530f5834b.jpg?v=1620730711&width=800,BTR womens silver reflective high vis gilet,BTR Sports,Womens High Vis Clothing,yes
BTR149,BTR Waterproof Bike Rack Bag Cover with Reflective Trim,These waterproof and high vis bicycle rack bag covers will fit each of our Bike Rack Bags as well as most similar bike rack bike bags available on the market,7.99,https://btrsports.co.uk/products/btr-waterproof-bike-rack-bag-cover-with-reflective-trim,https://cdn.shopify.com/s/files/1/2318/5147/products/1_2_e133a0be-1aff-49b0-bc43-5b72e9cd1c6b.jpg?v=1600948198&width=800,,BTR Sports,Bicycle Bags and Panniers,yes
BTR458,BTR High Visibility Reflective Rear Rack Bicycle Bag Cover,These high visibility and 360 reflective bicycle rack bag covers will fit each of our 3 Bike Rack Bags as well as most similar bike rack bike bags available on the market . It does not fit the XL Waterproof Dry Bag,8.99,https://btrsports.co.uk/products/btr-high-visibility-reflective-rear-rack-bicycle-bag-cover,https://cdn.shopify.com/s/files/1/2318/5147/products/8_98add85c-f021-42ea-8c24-1ac44a8f36c4.jpg?v=1600949164&width=800,,BTR Sports,Bicycle Bags and Panniers,yes
BTR597,"BTR Womens Reflective Cycling & Running High Vis Gilet, Vest (Classic)","This women’s totally reflective gilet glows brightly under headlights from every direction. The entire surface is covered in reflective material — so you light up like a beacon in low light and after dark. Cut specifically for women, the...",9.99,https://btrsports.co.uk/products/btr-womens-reflective-cycling-running-high-vis-gilet-vest-classic,https://cdn.shopify.com/s/files/1/2318/5147/products/Lifestylesmaller.jpg?v=1632394624&width=800,BTR womens silver gilet lifestyle photo,BTR Sports,High Visibility Vests and Gilets,yes
BTR608,"BTR Womens Reflective High Visibility Running & Cycling Vest, Gilet.","This women’s hi-vis reflective gilet gives you 360° visibility whether you’re out in daylight or after dark. The unique 50/50 design combines bright hi-vis panels with large reflective sections, so drivers spot you easily in any light co...",19.99,https://btrsports.co.uk/products/btr-womens-reflective-high-visibility-running-cycling-vest-gilet,https://cdn.shopify.com/s/files/1/2318/5147/products/Task8_3V1_e6fd97b3-6613-4695-abc7-0cf68d32363c.jpg?v=1636545159&width=800,BTR womens reflective high vis gilets group shot in the dark,BTR Sports,High Visibility Vests and Gilets,yes
BTR897,"USB Rechargeable Bike Lights Set, 300 Lumen LED Front & Rear, Waterproof","A powerful 300 lumen rechargeable bike light set with a bright LED front headlight and a 14-LED rear tail light. USB rechargeable, waterproof to IPX4, and built for real UK weather, so you can commute after dark, finish that evening club...",9.99,https://btrsports.co.uk/products/usb-rechargeable-bike-light-set-300-lumen-led-front-rear,https://cdn.shopify.com/s/files/1/2318/5147/files/2-small-main_c0efd199-677c-43bb-ac57-6296f4296a2e.jpg?v=1775918796&width=800,"BTR USB rechargeable 300 lumen bike light set, front and rear",BTR Sports,Bicycle Lights,yes
BTR899,"USB Rechargeable Bike Lights Set with Battery Indicator, 500 Lumen Twin T6 LED Front & COB Rear, Waterproof","A powerful 500 lumen rechargeable bike light set with a twin T6 LED front headlight and a wide COB LED rear tail light. USB rechargeable, waterproof and built for real UK weather, so you can commute after dark, finish that evening club r...",14.99,https://btrsports.co.uk/products/usb-rechargeable-bike-lights-set-with-battery-indicator,https://cdn.shopify.com/s/files/1/2318/5147/files/bigbikelightset.jpg?v=1776096489&width=800,BTR USB rechargeable 500 lumen bike light set with front and rear lights,BTR Sports,Bicycle Lights,yes
